시도,시군구,시설명,주소,전화번호,홈페이지,카테고리,latitude,longitude
서울,송파구,서울특별시교육청송파도서관,서울특별시 송파구 동남로 263(오금동 51),02-3434-3333,http://splib.sen.go.kr,도서관,37.5010097,127.134043
서울,양천구,서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113 목동서울특별시교육청양천도서관,02-2062-3900,http://yclib.sen.go.kr,도서관,37.5336117,126.8762068
서울,영등포구,서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10 (당산동)10 (영등포평생학습관),02-6712-7500,http://ydpllc.sen.go.kr,도서관,37.5259702,126.9072585
서울,용산구,서울특별시교육청남산도서관,서울특별시 용산구 소월로 109 (후암동)109 (남산도서관),02-754-7338,http://nslib.sen.go.kr,도서관,37.549392,126.9762125
서울,용산구,서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160 후암동160 용산도서관,02-6902-7723,http://yslib.sen.go.kr,도서관,37.5519102,126.9801391
서울,종로구,서울특별시교육청어린이도서관,서울특별시 종로구 사직로9길 7 (사직동)어린이도서관,02-731-2300,http://childlib.sen.go.kr,도서관,37.576478,126.967887
서울,종로구,서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48 (화동)48 (정독도서관),02-2011-5799,http://jdlib.sen.go.kr,도서관,37.5807856,126.9831611
서울,종로구,서울특별시교육청종로도서관,서울특별시 종로구 사직로9길 15-14 (사직동)종로도서관,02-721-0709,http://jnlib.sen.go.kr,도서관,37.57645,126.966387
서울,강동구,명성교회도서관,서울특별시 강동구 명일동341-2,02-440-9140,http://www.mslib.or.kr,도서관,37.5468695,127.1462633
서울,송파구,가락몰도서관,서울특별시 송파구 양재대로 932 가락동가락몰 업무동 4층,02-3435-0950,http://www.splib.or.kr/spalib/,도서관,37.493116,127.1164539
서울,송파구,지샘터 올림픽공원도서관,서울특별시 송파구 올림픽로424 (올림픽공원) 스포츠비즈홀1층,02-2180-3578,http://lib.kspo.or.kr,도서관,37.5206868,127.1214941
서울,종로구,4.19 혁명기념 도서관,서울특별시 종로구 평동166,02-730-4190,http://library.419revolution.org,도서관,37.5673015,126.9676804
서울,중구,한국학생도서관,서울특별시 중구 동호로27길30 (한국학생회관),02-2275-0753,http://ksplibrary.co.kr,도서관,37.5606878,127.0021474
서울,강남구,강남구립 역삼푸른솔 도서관,서울특별시 강남구 테헤란로8길 36 (역삼동) 4층,02-2051-1178,https://library.gangnam.go.kr/ysplib/index.do,도서관,37.4964604,127.0320158
서울,강남구,강남구립못골도서관,서울특별시 강남구 자곡로 116 (자곡동),02-459-5522,http://library.gangnam.go.kr/mglib,도서관,37.4768479,127.1102818
서울,강남구,강남구립열린도서관,서울특별시 강남구 일원로 115 (일원동)삼성생명빌딩 B동 203호,02-3412-3970,https://library.gangnam.go.kr/yllib,도서관,37.4890175,127.0824833
서울,강남구,논현도서관,서울특별시 강남구 학동로43길 17 (논현동)논현2동주민센터 6층,02-3443-7650,https://library.gangnam.go.kr/nhlib/index.do,도서관,37.5172158,127.0371731
서울,강남구,대치도서관,"서울특별시 강남구 삼성로 212 (대치동, 은마아파트)복지상가 215호",02-565-6666,http://library.gangnam.go.kr/,도서관,37.49605736,127.0640605
서울,강남구,도곡정보문화도서관,서울특별시 강남구 도곡로18길 57 (도곡동),02-2176-0781,https://library.gangnam.go.kr/dogoklib,도서관,37.4882371,127.0392707
서울,강남구,못골한옥어린이도서관,서울특별시 강남구 자곡로7길 3 (자곡동),02-2226-5930,http://hchildlib.gangnam.go.kr,도서관,37.4790091,127.0993907
서울,강남구,역삼도서관,"서울특별시 강남구 역삼로7길 16 (역삼동), 5층",02-508-1139,https://library.gangnam.go.kr/yslib,도서관,37.495188,127.0332163
서울,강남구,정다운도서관,서울특별시 강남구 학동로67길11(청담평생학습관) 3층,02-512-9326,http://library.gangnam.go.kr,도서관,37.5190507,127.0464302
서울,강남구,즐거운도서관,"서울특별시 강남구 도곡로77길 23, 4층 (대치동)대치4문화센터 4층",02-565-7533,https://library.gangnam.go.kr/jgwlib,도서관,37.4997536,127.0578905
서울,강남구,청담도서관,서울특별시 강남구 압구정로79길 26 (청담동) 청담동주민센터 7층,02-540-7042,https://library.gangnam.go.kr/cdlib/,도서관,37.5250412,127.0492971
서울,강남구,행복한도서관,서울특별시 강남구 영동대로65길 24 (대치동)3층,02-567-3833,https://library.gangnam.go.kr/happylib,도서관,37.5022464,127.0641595
서울,강동구,강동구립강일도서관,서울특별시 강동구 아리수로93길9 -14 강일동복합청사,02-427-7676,http://gdlibrary.or.kr/gilib/,도서관,37.5652037,127.1743448
서울,강동구,강동구립둔촌도서관,서울특별시 강동구 동남로49길 21-8 (둔촌동),02-489-6557,https://www.gdlibrary.or.kr/,도서관,37.5322964,127.1472074
서울,강동구,강동구립성내도서관,서울특별시 강동구 성안로106 1,02-471-0044,http://www.gdlibrary.or.kr/snlib,도서관,37.5327964,127.1333283
서울,강동구,강동구립암사도서관,서울특별시 강동구 고덕로20길 42 (암사동),02-429-0476,https://www.gdlibrary.or.kr,도서관,37.5528007,127.1333457
서울,강동구,강동구립천호도서관,서울특별시 강동구 성안로31마길 1 (천호동)2층,02-488-7223,https://www.gdlibrary.or.kr/,도서관,37.5503452,127.1397321
서울,강동구,강동구립해공도서관,서울특별시 강동구 올림픽로 702,02-478-9656,http://www.gdlibrary.or.kr/hglib/,도서관,37.5443685,127.126709
서울,강북구,강북문화정보도서관,서울특별시 강북구 오현로 145 (번동)145,02-944-3100,https://www.gblib.or.kr/gangbuk/index.do,도서관,37.6248352,127.0360823
서울,강북구,강북청소년문화정보도서관,서울특별시 강북구 삼양로 54길 68,02-944-3141,http://www.gangbuklib.seoul.kr/youth/,도서관,37.6230299,127.0215671
서울,강북구,미아문화정보도서관,서울특별시 강북구 솔매로49길 14 (미아동)5층 ,02-944-3182,http://www.gblib.or.kr/mia/,도서관,37.6251093,127.0177505
서울,강북구,삼각산어린이도서관,서울특별시 강북구 삼양로19길 34 (미아동),02-944-3190,http://www.gblib.or.kr/kids,도서관,37.6319203,127.0280953
서울,강북구,솔샘문화정보도서관,서울특별시 강북구 솔샘로177,02-944-3150,http://www.gangbuklib.seoul.kr/solsem/,도서관,37.6204314,127.0123883
서울,강북구,송중문화정보도서관,서울특별시 강북구 도봉로20나길 6 (미아동),02-944-3160,http://www.gblib.or.kr/songjung/,도서관,37.6182711,127.0299121
서울,강북구,수유문화정보도서관,서울특별시 강북구 수유1동605-412,02-944-3170,http://www.gangbuklib.seoul.kr/suyu/,도서관,37.6300001,127.017532
서울,강서구,강서구립 곰달래도서관,서울특별시 강서구 강서로5길 50 (화곡동)곰달래문화복지센터 5~6층,02-2065-3785,http://lib.gangseo.seoul.kr,도서관,37.5289008,126.8488134
서울,강서구,강서구립 등빛도서관,서울특별시 강서구 강서로62길 48 (등촌동)48,02-3664-6990,http://lib.gangseo.seoul.kr,도서관,37.5623555,126.8422411
서울,강서구,강서구립 푸른들청소년도서관,서울특별시 강서구 강서로45다길 71 (화곡동),02-2691-1630,http://lib.gangseo.seoul.kr,도서관,37.54464,126.8351506
서울,강서구,강서구립가양도서관,서울특별시 강서구 양천로61길 101,02-3665-8797,http://lib.gangseo.seoul.kr,도서관,37.5619849,126.863732
서울,강서구,강서구립우장산숲속도서관,서울특별시 강서구 우현로 34 (화곡동) 1159-4 우장산동주민센터4층,02-2696-6690,http://lib.gangseo.seoul.kr,도서관,37.5482013,126.8418444
서울,강서구,강서길꽃어린이도서관,"서울특별시 강서구 금낭화로24길5 (방화3동주민센터,어린이도서관)",02-2663-4764,http://lib.gangseo.seoul.kr,도서관,37.578697,126.8135408
서울,강서구,강서꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615 (염창동)281-25 (강서구 공항대로 615),02-3663-4025,http://lib.gangseo.seoul.kr,도서관,37.5473042,126.8733012
서울,강서구,강서영어도서관,서울특별시 강서구 곰달래로57가길 26 화곡4동 주민센터 2층,02-2061-2270,http://lib.gangseo.seoul.kr/,도서관,37.534564,126.860704
서울,관악구,관악중앙도서관,서울특별시 관악구 신림로3길 35 (신림동),02-828-5700,"http://lib.gwanak.go.kr, https://www.gfac.or.kr/",도서관,37.4675185,126.9448533
서울,관악구,글빛정보도서관,서울특별시 관악구 관악로30길 23 (봉천동)23,02-878-7460,"http://www.gwanakcullib.seoul.kr, http://lib.gwanak.go.kr",도서관,37.4862059,126.9596576
서울,관악구,성현동작은도서관,서울특별시 관악구 관악로37길 56 (봉천동)동아APT 상가 B동 5층,02-877-7183,"http://www.gfac.or.kr, http://lib.gwanak.go.kr",도서관,37.488488,126.957729
서울,관악구,은천동작은도서관,"서울특별시 관악구 봉천로33나길 30 (봉천동)은천동복합청사 4,5층",02-877-1162,"http://www.gwanakcullib.seoul.kr, http://lib.gwanak.go.kr",도서관,37.4852453,126.9423969
서울,관악구,조원도서관,"서울특별시 관악구 조원로12길 25 (신림동)25 3,4층",02-851-5571,"https://www.gfac.or.kr, http://lib.gwanak.go.kr",도서관,37.4825228,126.9077834
서울,광진구,광진정보도서관,서울특별시 광진구 아차산로78길 90 (광장동),02-3437-5095,http://gwangjinlib.seoul.kr,도서관,37.5496516,127.1094608
서울,광진구,구의제3동도서관,서울특별시 광진구 강변역로17 (구의3동 복합청사) 구의제3동주민센터 內 3층,02-454-6294,http://www.gwangjinlib.seoul.kr/,도서관,37.538066,127.0918804
서울,광진구,자양제4동도서관,서울특별시 광진구 뚝섬로26길 58 (자양동)뚝섬로26길 58(자양동),02-465-0737,https://www.gwangjinlib.seoul.kr/jy4dong/index.do,도서관,37.5340546,127.0662311
서울,광진구,자양한강도서관,서울특별시 광진구 뚝섬로52길 66 (자양동),02-456-0048,https://www.gwangjinlib.seoul.kr/jyriver/index.do,도서관,37.532779,127.0679781
서울,광진구,중곡문화체육센터도서관,서울특별시 광진구 능동로 433 (중곡동),02-3408-4900,http://www.gwangjinlib.seoul.kr,도서관,37.5681915,127.0890651
서울,구로구,개봉도서관,서울특별시 구로구 개봉로16길30 11 (개봉초등학교),02-2689-1695,http://lib.guro.go.kr,도서관,37.4897388,126.8583705
서울,구로구,개봉어린이도서관,"서울특별시 구로구 경인로 318-15 (개봉동)2층, 3층",02-2066-1695,http://lib.guro.go.kr,도서관,37.4931679,126.8509962
서울,구로구,구로구립 온누리도서관,서울특별시 구로구 구로중앙로27나길 9 (구로동)구로초등학교 내 온누리관 4층,02-858-9080,http://lib.guro.go.kr/,도서관,37.4968195,126.8858694
서울,구로구,구로기적의도서관,서울특별시 구로구 구로중앙로40길 24 (신도림동),02-2632-8878,https://lib.guro.go.kr,도서관,37.5071053,126.8775035
서울,구로구,구로꿈나무도서관,서울특별시 구로구 구로동로26길 54 2층 (구로동 741-27)구로시설관리공단 2층 (구로동 741-27),02-830-1623,http://lib.guro.go.kr,도서관,37.4898684,126.8872465
서울,구로구,궁동어린이도서관,서울특별시 구로구 오리로 1352 (궁동),02-2060-8229,http://lib.guro.go.kr/,도서관,37.5003075,126.8289067
서울,구로구,글마루한옥어린이도서관,서울특별시 구로구 고척로27바길 7 (개봉동),02-2615-8200,http://lib.guro.go.kr/,도서관,37.5068616,126.8456141
서울,구로구,꿈마을 도서관,서울특별시 구로구 디지털로27다길 65구로동 777-1 구로,02-830-5807,http://lib.guro.go.kr,도서관,37.4871738,126.8902592
서울,구로구,하늘도서관,서울특별시 구로구 구로동로13길 68 (구로동),02-864-9585,http://lib.guro.go.kr/,도서관,37.4874326,126.8809177
서울,금천구,금천구립가산도서관,서울특별시 금천구 가산로5길 43,02-865-6817,http://geumcheonlib.seoul.kr/index.do,도서관,37.4734504,126.8921274
서울,금천구,금천구립금나래도서관,서울특별시 금천구 시흥대로73길 70,02-2627-2991,http://geumcheonlib.seoul.kr/index.do,도서관,37.4567667,126.8954005
서울,금천구,금천구립독산도서관,서울특별시 금천구 독산로54길 114 (독산동)독산4동 375-2,02-863-9544,http://geumcheonlib.seoul.kr,도서관,37.4674481,126.9080502
서울,금천구,금천구립시흥도서관,서울특별시 금천구 금하로764,02-809-8242,http://geumcheonlib.seoul.kr,도서관,37.4524516,126.9070357
서울,노원구,공릉행복발전소,서울특별시 노원구 동일로179길 22 (공릉동),02-976-3820,https://www.nowonlib.kr/,도서관,37.6408372,127.0866673
서울,노원구,노원어린이도서관,서울특별시 노원구 한글비석로 346 (중계동),02-933-7145,http://www.nowonlib.kr,도서관,37.6580084,127.076284
서울,노원구,노원정보도서관,서울특별시 노원구 노원로34길43,02-950-0050,http://www.nowonlib.kr,도서관,37.6610613,127.0649973
서울,노원구,상계문화정보도서관,서울특별시 노원구 동일로243길 57(상계동 1118-66),02-3391-7882,http://www.nowonlib.kr/,도서관,37.6784183,127.0518501
서울,노원구,월계문화정보도서관,서울특별시 노원구 월계로 319 (월계동),02-991-0871,http://www.nowonlib.kr,도서관,37.6286048,127.0561075
서울,노원구,월계어린이도서관,서울특별시 노원구 월계로42길 9 (월계동)월계문화복지센터 내 3층,070-4238-5148,http://www.wgcwc.or.kr,도서관,37.624237,127.0507579
서울,노원구,한내지혜의 숲 도서관,서울특별시 노원구 마들로 86 (월계동),02-979-7420,http://www.nowonlib.kr,도서관,37.6322725,127.0535799
서울,노원구,화랑도서관,서울특별시 노원구 노원로1나길 10 (공릉동)공릉청소년문화정보센터,02-973-1318,http://www.gycenter.or.kr,도서관,37.6214718,127.0830211
서울,도봉구,도봉기적의도서관,서울특별시 도봉구 마들로 797 (도봉동),02-3493-7171,http://www.unilib.dobong.kr/,도서관,37.6676581,127.049132
서울,도봉구,도봉문화정보도서관,서울특별시 도봉구 덕릉로 315 (창동)315,02-900-1835,http://www.unilib.dobong.kr/,도서관,37.6445808,127.0438827
서울,도봉구,도봉아이나라도서관,서울특별시 도봉구 노해로69길 151 (창동)서울특별시 도봉구 창동 808-1,02-995-4171,http://www.kidlib.dobong.kr,도서관,37.6590072,127.0494699
서울,도봉구,둘리도서관,서울특별시 도봉구 시루봉로1길 6 (쌍문동)시루봉로 1길 6 (쌍문동),070-4291-1112,http://www.doolymuseum.or.kr/Contents.asp?code=10001436,도서관,37.6530842,127.0235327
서울,도봉구,쌍문채움도서관,서울특별시 도봉구 우이천로 340 (쌍문동),02-998-0910,http://www.unilib.dobong.kr/main.do,도서관,37.6486093,127.0275662
서울,도봉구,학마을도서관,서울특별시 도봉구 시루봉로 128 (방학동)446-5번지,02-955-0655,http://www.unilib.dobong.kr,도서관,37.6621078,127.0278197
서울,동대문구,동대문구 답십리 도서관,서울특별시 동대문구 서울시립대로4길 75 (답십리동),02-982-1959,https://www.l4d.or.kr/dsn/index.do,도서관,37.5737465,127.0494268
서울,동대문구,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60 (청량리동)60,02-960-1959,http://www.L4D.or.kr,도서관,37.5899245,127.0472693
서울,동대문구,동대문책마당도서관,"서울특별시 동대문구 천호대로 145 (용두동), 1층",02-2127-4116,https://www.l4d.or.kr/bml,도서관,37.5786802,127.0306388
서울,동대문구,배봉산 숲속도서관,서울특별시 동대문구 전농로16길 97 (전농동),02-2212-8502,https://www.l4d.or.kr/bfl,도서관,37.5794335,127.0658492
서울,동대문구,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,02-2248-1959,www.l4d.or.kr,도서관,37.5886455,127.0605946
서울,동작구,구립김영삼도서관,서울특별시 동작구 매봉로 1 (상도1동),02-827-0557,https://lib.dongjak.go.kr/dj/index.do,도서관,37.5053584,126.949863
서울,동작구,대방어린이도서관,서울특별시 동작구 대방동길55,02-813-6740,http://lib.dongjak.go.kr,도서관,37.5029826,126.9251559
서울,동작구,동작어린이도서관,서울특별시 동작구 장승배기로16길 98 (노량진동),02-823-6750,http://lib.dongjak.go.kr,도서관,37.5091646,126.9434213
서울,동작구,사당솔밭도서관,서울특별시 동작구 솔밭로 86동작구 사당5동 708-1188,02-585-8411,http://lib.dongjak.go.kr/,도서관,37.4889516,126.9644988
서울,동작구,약수도서관,서울특별시 동작구 양녕로22바길 64 (상도동),02-823-1907,http://lib.dongjak.go.kr/,도서관,37.4978365,126.9474396
서울,마포구,마포구립서강도서관,서울특별시 마포구 독막로 165 (창전동),02-3141-7053,https://mplib.mapo.go.kr/sglib/index.do,도서관,37.545416,126.9307958
서울,마포구,마포구립하늘도서관,서울특별시 마포구 월드컵로 212 (성산동)마포구청 12층,02-3153-6260,https://mplib.mapo.go.kr/skylib,도서관,37.561696,126.9070949
서울,마포구,마포중앙도서관,서울특별시 마포구 성산로 128 (성산동),02-3153-5800,https://mplib.mapo.go.kr/mcl/,도서관,37.5633288,126.9078837
서울,마포구,마포푸르메어린이도서관,서울특별시 마포구상암동 1738  푸르메재단넥슨어린이재활병원,02-6070-9286,https://mplib.mapo.go.kr/purme/index.do,도서관,37.5841516,126.8808497
서울,서대문구,서대문구립남가좌새롬어린이도서관,서울특별시 서대문구 남가좌2동342-34 (증가로 10길 16-15),02-360-8670,http://lib.sdm.or.kr,도서관,37.5782918,126.9240346
서울,서대문구,서대문구립이진아기념도서관,서울특별시 서대문구 독립문공원길 80 (현저동),02-360-8600,http://lib.sdm.or.kr,도서관,37.5743009,126.9559178
서울,서대문구,서대문구립홍은도담도서관,서울특별시 서대문구 홍은중앙로 129 (홍은동),02-360-8645,http://lib.sdm.or.kr,도서관,37.6017786,126.9489927
서울,서초구,방배도서관,서울특별시 서초구 방배로 40 (방배동)방배3동 주민센터(신청사) 4층,02-3471-3993,http://spublic.seocholib.or.kr,도서관,37.4784027,126.9999572
서울,서초구,서초구립내곡도서관,서울특별시 서초구 청계산로7길 9-20 (신원동),02-3461-3007,http://naegok.seocholib.or.kr,도서관,37.4473672,127.0553225
서울,서초구,서초구립반포도서관,서울특별시 서초구 고무래로 34 (반포동)고무래로 34,02-520-8700,http://www.seocholib.or.kr/,도서관,37.5024352,127.0124167
서울,서초구,서초구립양재도서관,서울특별시 서초구 양재천로 33 (양재동),02-3486-4050,http://yangjae.seocholib.or.kr,도서관,37.4775762,127.0402569
서울,서초구,서초그림책도서관,서울특별시 서초구 명달로 150 (서초동),02-3471-0995,http://spublic.seocholib.or.kr/,도서관,37.4788777,127.0099952
서울,서초구,서초청소년도서관,서울특별시 서초구 효령로77길 37 (서초동),02-3486-9543,https://seocho.seocholib.or.kr,도서관,37.4921536,127.0279823
서울,서초구,잠원도서관,서울특별시 서초구 나루터로 38 (잠원동)3층,02-3477-8655,http://spublic.seocholib.or.kr,도서관,37.5149258,127.0139557
서울,성동구,성동구립금호도서관,서울특별시 성동구 금호동1가688 (난계로 20),02-2204-6450,http://www.sdlib.or.kr/kh,도서관,37.554066,127.0248971
서울,성동구,성동구립도서관,서울특별시 성동구 고산자로10길9 (성동문화정보센터),02-2204-6420,https://www.sdlib.or.kr,도서관,37.5591681,127.0349267
서울,성동구,성동구립무지개도서관,서울특별시 성동구 고산자로 270 (행당동)270 성동구청 3층,02-2286-6025,https://www.sdlib.or.kr/RB,도서관,37.5634092,127.0369449
서울,성동구,성동구립성수도서관,서울특별시 성동구 뚝섬로1길 43 (성수동1가) 성수문화복지회관 7층,02-2204-7590,https://www.sdlib.or.kr/ss/,도서관,37.5386577,127.0492493
서울,성동구,성동구립숲속도서관,서울특별시 성동구 매봉길 49-29 (옥수동)서울특별시 성동구 매봉길 49-29,02-2204-6485,https://www.sdlib.or.kr/fore/main.do,도서관,37.5459681,127.0125058
서울,성동구,성동구립용답도서관,서울특별시 성동구 용답중앙3길 10 (용답동),02-2204-6470,https://www.sdlib.or.kr/yd,도서관,37.5666596,127.051291
서울,성동구,성동구립청계도서관,서울특별시 성동구 마장로 141 (상왕십리동)마장로 141 왕십리도선동 공공복합청사內 5~6층,02-2204-7580,http://www.sdlib.or.kr/cg,도서관,37.567898,127.0251311
서울,성북구,글빛도서관,"서울특별시 성북구 길음로7길 20 (길음동)(서울성북미디어문화마루) 1,2층",02-6956-0559,https://www.sblib.seoul.kr/gbitlib,도서관,37.6036654,127.022275
서울,성북구,달빛마루도서관,서울특별시 성북구 하월곡동동일하이빌뉴시티 104동 2층,02-911-0993,https://www.sblib.seoul.kr/dblib/,도서관,37.60534448,127.0310339
서울,성북구,석관동미리내도서관,서울특별시 성북구 한천로66길 203 (석관동)석관동미리내도서관 4-5층,02-960-5067,https://mirinae.sblib.seoul.kr/mirine,도서관,37.6134751,127.0654041
서울,성북구,성북구립 청수도서관,서울특별시 성북구 보국문로16가길20,02-2038-4423,http://ch.sblib.seoul.kr/,도서관,37.611648,127.0107523
서울,성북구,성북길빛도서관,서울특별시 성북구 숭인로8길 52 (길음동) 서울특별시 성북구 숭인로8길 52 (길음동,02-6949-0031,https://www.sblib.seoul.kr/gblib/index.do,도서관,37.6109378,127.0262257
서울,성북구,성북정보도서관,서울특별시 성북구화랑로18자길 13,02-962-1081,https://www.sblib.seoul.kr/sblib,도서관,37.6049353,127.0505729
서울,성북구,아리랑도서관,서울특별시 성북구 아리랑로 82 (돈암동),02-3291-4990,https://www.sblib.seoul.kr/arlib/,도서관,37.5998684,127.0139365
서울,성북구,아리랑어린이도서관,"서울특별시 성북구 아리랑로 75 (돈암동, 돈암코오롱하늘채)",02-3291-4992,https://www.sblib.seoul.kr/arclib,도서관,37.5991068,127.0137948
서울,성북구,월곡꿈그림도서관,서울특별시 성북구 화랑로13길 17 (하월곡동),02-6949-1553,https://www.sblib.seoul.kr/wglib,도서관,37.6033017,127.0433139
서울,성북구,장위행복누림도서관,서울특별시 성북구 장위로21다길 53 (장위동)장위행복누림복합센터 2층,02-6954-7955,https://www.sblib.seoul.kr/jwlib,도서관,37.6159077,127.0456208
서울,성북구,정릉도서관,서울특별시 성북구 정릉로 242 (정릉동) 2층,02-2038-9928,https://www.sblib.seoul.kr/jnlib/,도서관,37.6169682,127.0086599
서울,성북구,종암동새날도서관,서울특별시 성북구 종암로 98-8종암동복합청사 4~5층,02-6925-6920,https://www.sblib.seoul.kr/snlib/,도서관,37.5990053,127.0352017
서울,성북구,해오름도서관,서울특별시 성북구 돈암동성북로 4길 52,02-6925-7002,https://www.sblib.seoul.kr/horlib/index.do,도서관,37.5947663,127.0104379
서울,송파구,거마도서관,서울특별시 송파구 거여2동195-1 거여2동 주민자치센터 4층,02-449-9813,http://www.splib.or.kr,도서관,37.4935096,127.1468394
서울,송파구,돌마리도서관,서울특별시 송파구 백제고분로37길 16 (석촌동) 석촌동주민센터 5층,02-414-7007,http://www.splib.or.kr/spdlib/index.jsp,도서관,37.503607,127.103743
서울,송파구,소나무언덕2호작은도서관,서울특별시 송파구 석촌호수로 1552층,02-424-0083,http://www.splib.or.kr/sp2lib/,도서관,37.508129,127.0928516
서울,송파구,소나무언덕3호 작은도서관,서울특별시 송파구 마천1동325-5 마천청소년센터 4층,02-443-0130,http://www.splib.or.kr//sp3lib,도서관,37.4922971,127.1566209
서울,송파구,소나무언덕잠실본동도서관,서울특별시 송파구 탄천동로 205 (잠실동),02-412-0750,http://www.splib.or.kr/spmlib,도서관,37.5096771,127.0833023
서울,송파구,송파글마루도서관,서울특별시 송파구 충민로 120 (장지동),02-449-8855,http://www.splib.or.kr,도서관,37.4807272,127.1268478
서울,송파구,송파어린이도서관,서울특별시 송파구 잠실동올림픽로 105,02-418-0303,http://www.splib.or.kr/spclib,도서관,37.5120643,127.0824157
서울,송파구,송파어린이영어작은도서관,서울특별시 송파구 오금로 1 (신천동)신천빗물펌프장 4~5층,02-415-3567,http://www.splib.or.kr,도서관,37.5224869,127.1017087
서울,송파구,송파위례도서관,"서울특별시 송파구 위례광장로 210 (장지동)위례동복합청사 4, 5층",02-402-3003,http://www.splib.or.kr/spwlib,도서관,37.4812073,127.1440562
서울,양천구,갈산도서관,서울특별시 양천구 목동남로 4길17685,02-2649-2732,http://lib.yangcheon.or.kr/,도서관,37.5092286,126.8676048
서울,양천구,개울건강도서관,서울특별시 양천구 중앙로52길56(신정4동),02-2696-8910,https://lib.yangcheon.or.kr/libgaeul/,도서관,37.5259388,126.8566029
서울,양천구,목마교육도서관,서울특별시 양천구 목동서로 41목5동주민센터 3층,02-2652-8910,http://lib.yangcheon.go.kr,도서관,37.5371069,126.8817151
서울,양천구,미감도서관,서울특별시 양천구 목동중앙남로 57-10 (목동)3층,02-2652-5481,http://lib.yangcheon.go.kr,도서관,37.5389361,126.865468
서울,양천구,방아다리문학도서관,서울특별시 양천구 화곡로4길 10 (신월동),02-2620-4149,http://lib.yangcheon.or.kr,도서관,37.5385259,126.8271645
서울,양천구,신월음악도서관,서울특별시 양천구 오목로5길34 (신월4동 주민센터 3~5층),02-2065-1260,https://lib.yangcheon.go.kr/,도서관,37.524676,126.840151
